,Kingdom,Phylum,Class,Order,Family,Genus,Species
38f34bc4c8f4e94410676cf1be5475ce,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
70a06186aa6c679e9d9b9e2856362413,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
f799e9b3bf930ffaf80e3556e2974968,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured_bacterium
ed6be6f35c692c6166ff8442f30ba282,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Ambiguous_taxa
6ce35ed9c44a62a27bdcdd6f9debd13a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
52d6fae91fe613402b5eb064db422d2a,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
52d088a82542eb30cf475e09f76652af,Bacteria,Saccharibacteria,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium
d33358c7775d42fb3b1582ded3ad1181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
94e1eaa16290f82fe47a202dd30f76f5,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Ambiguous_taxa
bcc71cc1efae148c0f7572338d3e2f86,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
cf25d4a90f748550689c08313753196f,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
f0c7648ba19e0e246a6fbc8fd575ab93,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
7855d323d4534b701d14f9257cb0e0bb,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
fc672ff88dc475b143532167712d4329,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
b1acdb8ebd62583ddbf1f8bb0398687d,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,NA
e5281735e0a80bf2f6195dab6977e425,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
a05de28c3dd30349891e3a367c25dbd5,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Plantibacter,NA
2865b374e13e9ea92fcf821c97c30dec,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
a1067078973548ced03d393dea1ab84a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
419363d6c01e0530014c2969b7098bbe,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
0fed622c41a523ee37f67ec362f79067,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
235c42b49271bd7268fcad55de33b53e,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
fcc5096bfd4bede565ea8da830b3a1dc,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Ambiguous_taxa
08995258dcab3634cbbe385927d19c0b,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
aa8cde7abeed8febe65139495b693c9b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
47b9b5aaf3fb157cea06b791bf0c4509,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,NA
973cdc59ecf70e935e7d3fdbc87ee110,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
b74ef54ae169ca2de05b1554a4ff5cac,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
316970b0af3090fd150b1e982030c44e,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
0a5f6d98eb6f789eba2bd6be1cbcec89,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa
7b361820964e8c6ced5aec81f54bcfea,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
b1e01baec3036c56dce5c3de613e36b9,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,NA
bad96345dee787c9f6762d9b382960c5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa
f9f5c0dd23963af47fd6e9474e9216cc,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
eb22905b6f4f9e46d68e84d518d6dc05,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
4e248ecf1bc742964ad36d58dc1643e6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
3c69931f3a4f73948ab67a1249678525,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Ambiguous_taxa
1a92722547b385dfa1b0b2df156a2bd2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
ccc33d62630743cef3119e9ab322a4c3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
95cdb423f95736aa7baa6957c7c2eaa1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
6c8e8f15c8b62edfc17dd5fc30ecd8cd,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Ambiguous_taxa
ab9fa8be06158c76351c13f818950d62,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
f80670e4b3210b28e4a2ddbe1f92ba87,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
0fcda56045bacbdae8ad0e13adcd46b7,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
dc3e3e565592a4ab3635e367b02e727f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
4d4093e2fc1402de5b4614d2fd6ea06f,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,NA
07fdc12a7e4365b04422b66434804cb7,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
87f0b37a85f787c96f45695e782f92a4,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
9cce057c75c4bf8792364e8776ec3161,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,NA
2c1ee711b18969eb7e426dcf96038b52,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA
258888d59976d9f8e12b0e5bb78be7ee,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
bd6840fec7b50d514875f35405ec8b7f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
12c9caef39ed9409472f43b69f5026d4,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA
6a8cd212906e0a5fd451e76aa130f625,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
f42514bb90dfa70c17b174bd15b78158,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Ambiguous_taxa
27674392fce5ef7ef32f30e810a0a7c2,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Ambiguous_taxa
42d411a987cc05829897791280b0b0ec,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
f6bf584c4081d96e0ad688a16a806432,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA
1c89d95f5bbb59fdda45c608aea9b825,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
383279f128f7d4d3c877b05ac005c518,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,NA
95f73bcf51a9a006f2e046a4fada85a2,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
780c053fccd95a812072eb6f59e52026,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
b2b49a52445f8bf23714c0e26fcb91da,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
fb830a0029ddc33879db95290710436e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
32b0473b947c22dbecbbe17a70fdb695,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
8be20602f06f40de1569fb2a903381d8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
de738fde9b004019c2045ef1ae7e0be0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
07cbaee3124dc98935ff86a78d715c52,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
9c970d28cf4003b50a22edc9033f60ff,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
08cd8c3126973cc48fe21fc4029f1d5d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
b767acee7d4dc333c0e60e2fa99a527b,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
9d2e231c6a0d6dd8e54a7f77fade6476,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,NA
9071d44644bd8ed2410445cc7937dddf,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,uncultured_bacterium
17dc4f1eb9fe032f58585c5e28ffd097,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
a82de5a230122258d3ec5a66fd1928fb,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
2f93552763f448f9a452c27b2db67b7a,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
2cd30e9eda91687ba73dcae76f4f1880,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
52948b1ab2bcfee9c596942973a71e98,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
3b0582815b15581415b560d363d06b30,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA
7ef342d97a469edd5979b788b95a44e6,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
278ccd85dec11b4a8be0b84ffdc6ec9f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
3c2d07a0027b1e218ba04d787152b160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
960ca581bbfee6900de30113df17a5c8,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa
c2786ea0992a94e45d8d6b9c9660382a,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
5efc3d127df29a6f2e976cae828e203b,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa
ce6ca56f80d5857e1c95e72b64d4086c,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
ac6807c03dc6ed5ec1b3a134a9e08cc9,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
fb72960d3d863a1faddc36fdb92f2bbe,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
b5b5f7938ae6e0ca8ffa481c18c59546,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,NA
7367b882edbf739eb03d89b6b497cd06,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
87b6c1079175fe5e7abbf4161f253c02,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa
802b11aa2dbebbc2c11efaab2e56df80,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
c6aa0fa3e9c050aaecb4b58804e10618,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
f4f898e35c3c7595c28ec096e7862716,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
8e3352b6783f4a17a5c5354cb521272c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
aca76127cbd93d9babe2b188f74d1388,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
ea6a32e7238ae591b4d7b0cdc5272a26,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
5a1e308fbdab067f362d9adc74eebc12,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
74299ce746cace16b4c2c28bc51f009f,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
3e288b882827046d6db088f9a200cc8d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
879815b1626853f4af4a4f0e85703fd2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
f359d6b12d6df77fce3684238719e6c2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured_bacterium
107bad18bfe745e18c755cbc767effea,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
507e2a68b8a2bd6e5ac7364b773b03b0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
e5d2897df2f464827244b871d67ee050,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,uncultured_bacterium
8144e3f5463bf440bdbdd71684a7b0b2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Ambiguous_taxa
2ca093c5a2516bb2a4498afaa1e48848,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
5e37bc937e93932df2fc004907a946d5,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
18bbf2a45b8a5239c47d8832aa9e904c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,NA
89b3ea69ce754890608e59d9116e9436,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,NA
9a05b1f471cf7e73a07e61083243c3b3,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
912a4032115e71793a102e62d45235d4,Bacteria,Saccharibacteria,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium,uncultured_bacterium
1e314956ed9d2218652ef1bc61696619,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,NA
fddb4528f41635a7c2b265fa4467dd25,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
90a9fb79b96034da83446b52c2dc6192,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,NA,NA
fbfa3e4a8be05a5e654f8d60316ecb10,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteibacter,NA
b05f480b2a79c456e2cee11d722fa925,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
3624819153c82112e194f39315bfcda0,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,NA
8b6b75549b7f0859f62202fbde01538b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
1aae6d8da0d822745275675620c7e6f6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,NA,NA
47082eb92759c2179725fe69f11672c5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA
53858b170400e9bc174eead56302390f,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,NA,NA
e311d3f69c3425c96a683f6f1f6810d0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
b3d3cf6172f12d94c721e3ab3984ec0e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Ambiguous_taxa
5d899896a54dd0d0747cf6260509bf39,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Ambiguous_taxa
e0208f36b80aaa9224a40043c458897a,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
70cff8e858020869416fa598764fed87,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,NA
ea61b233d2a6f31cac48d4aafb2c1dd5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA
e54495cdcb6b8790429166ee7477a81f,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Ambiguous_taxa
c504f948f6e1d3fbc4e4191a07391e43,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
500ee7779dd3b14147d6b29421bc239a,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
712570c459ab238706584ba8f75ba2ff,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,NA
d90d126c93bd939d4800355fc1921d98,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,NA
82e86a6e34ce7623f14b338268dced5d,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA
1bc8c1807a800c2c8220ca1a13e4fdb9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
f5e4ae54e0ccb47a3e2c13d7553d1c46,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
f39443e17a1867cab460b53bca1dfb07,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
4ea998d26fdcc1452195e8f666349030,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
455611e8cdcceef68e08d7311c344d7a,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
7dd67f14700d1ab39f40659e5d0e6d0e,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,Ambiguous_taxa
d2ec35c801358dc8c4298cf0c57838de,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,NA
d1498f6a9f0b066d8bb3b104fc68d7fa,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
8b497f91df99572868e65f31f0747b90,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,uncultured_bacterium
ca898a31ea1c273932e42e5b9627e0c5,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
2d97b3f59cbf8c2de7bc1946da4baf27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
6aa25df843e563bbecf5ca46426245aa,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,uncultured_bacterium
67fe68b10effbc7af1e15eb1d66f58af,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA
fe6b986f51c658cd301857a00fb2c3a8,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,NA
fb2cc92fdea617f515e82477c2c44b95,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Ambiguous_taxa
9eb4add199c562864525afc41269364d,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
99994de6eb1e27baa39a0a756c1f0c16,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,NA
53fc8be8606733aee193b6f1fec96462,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Solimonadaceae,NA,NA
ef8f5021a8339a923b93540aaf64c270,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Ambiguous_taxa
6f3c989491b25f70ae1e1b73b458ec7f,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Herbiconiux,NA
0907630c9687032d4d09a53a1761c8f7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,NA
52ec97b3f172a4212493adf8787a20ec,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Ambiguous_taxa
aa36d9443027f0afe598fb1fa972ba35,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
ab263622f97feabff28dfa95d205bfd2,Bacteria,Proteobacteria,Betaproteobacteria,Methylophilales,Methylophilaceae,Methylotenera,NA
ff0c03956a135bb5c4ef5c3163983a0c,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,NA
95a529b86d88a6107aee969a0900df7e,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Ambiguous_taxa
